event_id,start_time,contact_time,end_time,hand,notes
1,00:41.97,00:42.07,00:42.17,right,auto-detected; min_normalized_distance=0.964
2,00:47.67,00:47.77,00:48.87,left,auto-detected; min_normalized_distance=0.973
3,01:04.83,01:04.93,01:05.17,right,auto-detected; min_normalized_distance=0.798
4,02:27.63,02:27.90,02:27.90,right,auto-detected; min_normalized_distance=0.571
5,02:35.17,02:35.80,02:36.00,right,auto-detected; min_normalized_distance=0.293
6,03:13.93,03:14.00,03:14.67,left,auto-detected; min_normalized_distance=0.805
7,03:13.93,03:14.80,03:14.80,right,auto-detected; min_normalized_distance=0.829
8,03:16.30,03:16.60,03:16.67,left,auto-detected; min_normalized_distance=0.832
9,03:20.07,03:20.13,03:20.13,right,auto-detected; min_normalized_distance=0.967
10,03:47.57,03:47.80,03:47.80,left,auto-detected; min_normalized_distance=0.478
11,05:05.73,05:06.47,05:06.80,right,auto-detected; min_normalized_distance=0.275
