frame,time_sec,hand,normalized_distance,head_scale_px,head_source,wrist_x,wrist_y,head_cx,head_cy,c0_x,c0_y,c4_x,c4_y,c8_x,c8_y,c12_x,c12_y,c16_x,c16_y,c20_x,c20_y
492,16.400,Left,1.3814,166.88,ear,487.91,667.69,699.97,286.25,487.91,667.69,657.28,639.17,669.75,545.19,661.69,513.58,646.04,522.16,627.11,551.74
493,16.433,Right,1.4257,159.78,ear,517.67,667.24,696.19,285.85,517.67,667.24,681.78,636.02,691.27,513.60,694.27,514.35,682.16,540.61,654.44,608.13
494,16.467,Right,1.4012,155.74,ear,542.90,669.69,694.44,286.31,542.90,669.69,693.99,640.23,714.63,525.92,716.73,503.39,711.51,510.79,684.79,541.79
495,16.500,Right,1.3001,154.10,ear,543.13,675.07,693.43,286.39,543.13,675.07,698.92,640.31,710.64,497.93,715.24,485.54,712.58,502.42,691.75,539.92
496,16.533,Right,1.7103,152.66,ear,539.91,671.67,692.39,287.74,539.91,671.67,717.53,650.49,749.60,626.95,751.28,598.79,741.53,557.47,709.72,548.26
497,16.567,Right,1.8033,151.94,ear,543.53,669.62,691.11,287.53,543.53,669.62,710.72,649.42,753.84,587.16,754.11,574.02,742.31,566.31,714.58,560.52
553,18.433,Right,1.8680,161.17,ear,457.76,499.61,679.87,279.90,457.76,499.61,616.31,574.19,662.97,620.20,616.95,622.44,566.72,625.24,526.64,622.67
555,18.500,Left,1.5591,163.26,ear,406.76,325.70,685.31,279.09,406.76,325.70,338.06,447.30,377.11,530.03,454.63,519.03,505.72,507.42,531.26,481.71
559,18.633,Right,1.3750,163.52,ear,360.27,453.20,692.03,281.10,360.27,453.20,494.24,388.03,492.53,400.70,477.89,396.44,453.55,395.57,434.57,386.03
560,18.667,Right,1.3455,165.31,ear,368.83,451.67,692.22,279.56,368.83,451.67,501.29,393.67,493.08,404.23,471.38,405.00,448.54,399.68,431.39,386.72
561,18.700,Right,1.3947,164.52,ear,364.95,435.88,694.05,281.52,364.95,435.88,506.58,413.81,485.56,416.06,460.94,411.89,442.91,403.53,429.61,386.55
562,18.733,Right,1.4258,165.57,ear,366.94,426.83,698.63,282.42,366.94,426.83,506.86,420.08,462.79,422.86,451.35,415.49,434.89,408.63,425.91,393.82
562,18.733,Right,1.9212,165.57,ear,1122.30,537.17,698.63,282.42,1122.30,537.17,964.17,457.58,1022.50,483.07,1047.65,471.30,1074.09,460.05,1098.30,448.16
563,18.767,Right,1.4208,165.79,ear,374.02,426.75,701.85,282.95,374.02,426.75,505.22,412.64,456.89,421.67,440.70,413.51,424.80,402.59,418.58,386.96
563,18.767,Left,1.8688,165.79,ear,1108.09,513.67,701.85,282.95,1108.09,513.67,963.34,449.15,1027.52,479.74,1047.28,472.71,1064.53,462.75,1079.24,445.66
564,18.800,Right,1.4635,165.80,ear,374.91,433.96,704.12,282.56,374.91,433.96,496.67,408.42,457.37,419.83,439.43,409.94,423.08,399.15,411.50,382.92
564,18.800,Left,1.8534,165.80,ear,1101.79,504.45,704.12,282.56,1101.79,504.45,963.82,446.84,1023.67,474.20,1046.04,469.65,1063.13,460.15,1074.13,440.13
565,18.833,Right,1.5249,164.36,ear,367.03,433.67,706.94,282.91,367.03,433.67,487.27,403.59,452.22,415.01,431.41,407.79,411.34,400.03,399.57,385.82
565,18.833,Left,1.8635,164.36,ear,1100.08,498.98,706.94,282.91,1100.08,498.98,968.76,441.85,1025.69,470.89,1048.61,468.04,1066.49,462.59,1073.01,442.42
566,18.867,Right,1.5832,165.30,ear,366.24,439.36,711.32,282.22,366.24,439.36,482.65,409.49,457.86,410.81,431.39,407.85,409.39,399.94,397.23,385.55
566,18.867,Left,1.8519,165.30,ear,1100.24,498.40,711.32,282.22,1100.24,498.40,971.26,443.89,1030.90,468.91,1053.28,467.73,1071.40,461.77,1079.78,442.55
567,18.900,Right,1.5945,166.56,ear,359.30,448.87,712.65,281.94,359.30,448.87,480.26,410.49,445.59,422.97,424.31,417.92,407.40,409.23,396.61,392.64
567,18.900,Left,1.8303,166.56,ear,1100.32,498.68,712.65,281.94,1100.32,498.68,971.97,442.23,1035.04,470.63,1055.13,469.29,1070.26,461.74,1079.69,442.88
568,18.933,Right,1.5941,165.46,ear,358.40,448.67,712.81,281.86,358.40,448.67,483.12,411.52,432.20,434.04,413.53,423.34,399.23,414.15,389.55,397.96
568,18.933,Left,1.8574,165.46,ear,1096.17,499.52,712.81,281.86,1096.17,499.52,973.49,444.63,1034.97,472.73,1054.80,471.72,1070.83,466.63,1079.74,448.67
569,18.967,Right,1.5923,165.27,ear,357.61,446.82,712.38,281.55,357.61,446.82,483.40,411.25,430.44,434.91,411.34,422.00,399.55,411.69,390.89,396.27
